Date/Time: 2018-04-25-21-09-41
Device Name: Blood Pressure Cuff
Units: seconds, kPa, mmHg, SIM
0.14, 0.60, 4.51, False
0.39, 0.70, 5.25, False
0.65, 1.13, 8.51, False
0.90, 1.01, 7.58, False
1.16, 2.49, 18.69, False
1.41, 3.27, 24.53, False
1.67, 3.21, 24.06, False
1.92, 3.58, 26.83, False
2.18, 4.27, 32.04, False
2.43, 5.68, 42.58, False
2.69, 6.41, 48.08, False
2.94, 7.22, 54.15, False
3.20, 7.58, 56.89, False
3.46, 8.82, 66.14, False
3.72, 10.06, 75.48, False
3.97, 10.84, 81.34, False
4.22, 10.97, 82.30, False
4.48, 11.98, 89.90, True
4.74, 13.93, 104.54, True
4.99, 15.48, 116.16, True
5.24, 16.89, 126.71, True
5.50, 16.39, 122.98, True
5.75, 18.79, 141.00, True
6.01, 18.35, 137.70, True
6.27, 18.06, 135.48, True
6.53, 17.86, 134.00, True
6.78, 17.73, 133.04, True
7.04, 20.11, 150.87, False
7.29, 20.13, 151.03, False
7.55, 20.51, 153.86, False
7.80, 22.09, 165.74, False
8.06, 21.71, 162.90, False
8.31, 21.45, 160.97, False
8.56, 21.06, 157.97, False
8.82, 18.33, 137.53, True
9.08, 15.88, 119.15, True
9.33, 13.39, 100.47, True
9.59, 11.18, 83.84, False
9.85, 9.36, 70.23, False
10.10, 8.00, 60.03, False
10.35, 6.83, 51.22, False
10.60, 5.82, 43.70, False
10.85, 5.15, 38.63, False
11.11, 4.58, 34.34, False
11.36, 4.16, 31.24, False
11.62, 3.83, 28.72, False
11.87, 3.58, 26.86, False
12.12, 3.37, 25.27, False
12.38, 3.19, 23.90, False
12.63, 3.04, 22.81, False
12.89, 2.91, 21.87, False
13.15, 2.87, 21.52, False
13.40, 2.90, 21.73, False
13.66, 2.95, 22.15, False
13.91, 4.24, 31.84, False
14.17, 4.99, 37.41, False
14.42, 6.15, 46.17, False
14.69, 7.13, 53.49, False
14.94, 8.19, 61.43, False
15.20, 10.13, 76.03, False
15.45, 11.67, 87.57, True
15.71, 13.33, 99.98, True
15.97, 14.93, 112.03, True
16.22, 16.39, 122.93, True
16.48, 17.20, 129.01, True
16.73, 17.51, 131.37, True
16.98, 17.61, 132.10, True
17.24, 18.71, 140.37, True
17.50, 19.27, 144.59, True
17.75, 20.20, 151.52, False
18.01, 20.90, 156.79, False
18.26, 20.85, 156.41, False
18.52, 21.01, 157.59, False
18.78, 21.87, 164.10, False
19.03, 22.87, 171.55, False
19.28, 22.56, 169.26, False
19.54, 22.36, 167.75, False
19.79, 22.19, 166.51, False
20.05, 22.05, 165.42, False
