2018-04-23-21-35-07 Smart Handle = otoscope
2018-04-23-21-35-07 Bluetooth Address = 00:06:66:83:89:6D
2018-04-23-21-39-39 Smart Handle = otoscope
2018-04-23-21-39-39 Bluetooth Address = 00:06:66:83:89:6D
2018-04-23-21-42-30 Smart Handle = otoscope
2018-04-23-21-42-30 Bluetooth Address = 00:06:66:83:89:6D
11.46,20.64,-4.15,-1.54,0.38,-0.14,0.89,0.48,0.42,0.37,-22.84,-9.14,229.63,0.00,0
11.72,1.14,3.77,-0.55,0.47,-0.09,0.85,0.48,0.42,0.36,-28.91,-6.24,229.60,0.00,0
11.99,-7.55,-5.85,11.74,0.47,-0.08,0.86,0.48,0.41,0.36,-28.65,-5.61,228.64,4.44,255
12.27,0.12,-1.87,0.71,0.47,-0.03,0.88,0.48,0.40,0.35,-28.28,-1.78,228.23,6.97,255
12.56,7.51,2.18,1.47,0.47,-0.01,0.88,0.49,0.41,0.35,-27.92,-0.40,228.26,7.29,255
12.81,0.94,1.02,0.31,0.48,-0.00,0.87,0.49,0.40,0.35,-28.82,-0.33,228.06,2.53,255
13.11,-2.07,3.11,0.22,0.49,-0.00,0.87,0.49,0.40,0.36,-29.10,-0.01,227.77,0.63,5
13.37,-1.99,-0.65,-1.31,0.48,0.00,0.88,0.49,0.41,0.35,-28.82,0.13,228.52,0.00,0
13.63,6.36,-1.13,-2.41,0.37,-0.09,0.83,0.49,0.41,0.36,-23.93,-6.50,228.58,0.00,0
13.93,0.45,-0.16,0.97,0.47,-0.01,0.88,0.48,0.41,0.36,-28.34,-0.89,228.82,0.00,0
14.20,0.55,0.71,0.42,0.47,-0.01,0.87,0.48,0.41,0.35,-28.36,-0.87,228.81,0.00,0
14.47,2.68,2.78,1.04,0.47,-0.00,0.87,0.49,0.40,0.35,-28.53,-0.19,228.13,0.00,0
14.73,0.72,-1.69,1.25,0.48,-0.01,0.87,0.48,0.41,0.36,-28.54,-0.88,229.02,0.63,0
15.00,4.55,-1.32,3.91,0.47,-0.02,0.88,0.49,0.40,0.35,-28.10,-1.30,227.92,3.17,255
15.27,0.85,1.97,0.73,0.47,-0.03,0.87,0.49,0.41,0.36,-28.38,-1.66,228.20,1.58,255
15.55,1.02,0.37,2.45,0.47,-0.02,0.87,0.49,0.41,0.36,-28.60,-1.64,228.25,0.32,0
15.84,0.26,0.29,1.00,0.47,-0.03,0.87,0.49,0.41,0.36,-28.51,-1.65,228.54,0.00,0
16.14,0.47,0.03,0.72,0.47,-0.02,0.88,0.49,0.40,0.36,-28.21,-1.21,227.92,0.00,0
16.38,0.51,0.17,1.89,0.47,-0.02,0.88,0.49,0.41,0.35,-28.30,-1.22,228.22,0.00,0
16.65,-0.52,-1.65,3.85,0.46,0.02,0.88,0.49,0.40,0.35,-27.51,1.02,227.95,1.90,3
