Date/Time: 2018-04-25-20-50-28
Device Name: Blood Pressure Cuff
Units: seconds, kPa, mmHg, SIM
0.14, 0.47, 3.54, False
0.39, 0.47, 3.54, False
0.64, 0.47, 3.54, False
0.90, 0.47, 3.54, False
1.15, 0.47, 3.54, False
1.41, 0.47, 3.54, False
1.67, 0.47, 3.54, False
1.92, 0.47, 3.54, False
2.18, 0.47, 3.54, False
2.43, 0.47, 3.54, False
2.68, 0.47, 3.54, False
2.94, 0.47, 3.54, False
3.19, 0.47, 3.54, False
3.44, 0.47, 3.54, False
3.69, 0.47, 3.54, False
3.95, 0.47, 3.54, False
4.20, 0.47, 3.54, False
4.45, 0.47, 3.54, False
4.71, 0.47, 3.54, False
4.96, 0.47, 3.54, False
5.21, 0.47, 3.54, False
5.47, 0.47, 3.54, False
5.74, 0.57, 4.26, False
6.00, 0.66, 4.94, False
6.25, 0.73, 5.44, False
6.51, 0.83, 6.26, False
6.77, 3.11, 23.33, False
7.02, 5.59, 41.90, False
7.27, 7.33, 55.02, False
7.53, 7.82, 58.64, False
7.78, 8.11, 60.82, False
8.04, 9.67, 72.57, False
8.30, 11.29, 84.72, False
8.55, 12.77, 95.81, True
8.80, 12.39, 92.96, True
9.06, 15.52, 116.46, True
9.32, 15.70, 117.78, True
9.58, 18.02, 135.17, True
9.83, 19.99, 149.99, False
10.08, 19.49, 146.21, False
10.34, 19.18, 143.92, True
10.60, 18.95, 142.14, True
10.85, 19.51, 146.38, True
11.11, 21.75, 163.20, False
11.37, 21.35, 160.16, False
11.62, 21.05, 157.93, False
11.88, 20.40, 153.04, False
12.13, 18.64, 139.85, True
12.39, 16.05, 120.41, True
12.64, 13.44, 100.80, True
12.90, 11.19, 83.94, False
13.16, 9.28, 69.60, False
13.42, 7.64, 57.34, False
13.67, 6.31, 47.32, False
13.92, 5.17, 38.81, False
14.18, 4.22, 31.68, False
14.44, 3.46, 25.96, False
14.70, 2.87, 21.55, False
14.96, 2.41, 18.10, False
15.21, 2.06, 15.47, False
15.47, 1.80, 13.47, False
15.72, 1.58, 11.88, False
15.98, 1.41, 10.59, False
16.24, 1.28, 9.57, False
16.49, 1.18, 8.84, False
16.75, 1.10, 8.23, False
17.00, 1.03, 7.71, False
17.26, 0.97, 7.28, False
17.51, 0.93, 6.97, False
17.77, 0.89, 6.65, False
18.02, 0.85, 6.40, False
18.28, 0.83, 6.20, False
18.54, 0.80, 6.01, False
18.79, 0.78, 5.85, False
19.05, 0.76, 5.69, False
19.30, 0.74, 5.57, False
19.56, 0.73, 5.44, False
19.82, 0.71, 5.35, False
20.07, 0.70, 5.24, False
