1, 16:38:05, 70, 79, 80, 77, 98, 97
2, 16:38:05, 21, 33, 46, 56, 39, 26
3, 16:38:05, 57, 52, 50, 49, 47, 36
4, 16:38:05, 41, 37, 42, 51, 42, 28
5, 16:38:05, 119, 101, 87, 83, 120, 128
6, 16:38:05, 126, 110, 97, 87, 109, 118
7, 16:38:05, 88, 72, 64, 66, 114, 133
8, 16:38:06, 124, 114, 98, 91, 105, 131
9, 16:38:06, 111, 111, 103, 94, 92, 87
10, 16:38:06, 117, 112, 102, 93, 96, 98
11, 16:38:06, 107, 106, 102, 92, 79, 66
12, 16:38:06, 113, 111, 103, 94, 92, 88
13, 16:38:06, 92, 97, 96, 89, 61, 41
14, 16:38:06, 106, 107, 102, 94, 78, 65
15, 16:38:07, 54, 70, 76, 73, 24, 91
16, 16:38:07, 114, 108, 102, 91, 96, 93
17, 16:38:07, 18, 31, 43, 56, 28, 6
18, 16:38:07, 23, 42, 53, 61, 29, 15
19, 16:38:07, 20, 31, 44, 53, 42, 29
20, 16:38:07, 20, 35, 47, 57, 40, 26
21, 16:38:07, 55, 51, 48, 55, 99, 105
22, 16:38:08, 28, 45, 56, 59, 23, 8
23, 16:38:08, 31, 35, 41, 52, 59, 58
24, 16:38:08, 51, 48, 46, 55, 96, 103
25, 16:38:08, 21, 32, 40, 48, 42, 27
26, 16:38:08, 71, 62, 58, 63, 109, 118
27, 16:38:08, 28, 36, 41, 49, 53, 43
28, 16:38:08, 102, 86, 73, 75, 125, 134
29, 16:38:09, 88, 75, 68, 72, 129, 131
30, 16:38:09, 123, 110, 94, 82, 103, 110
31, 16:38:09, 124, 110, 94, 85, 112, 122
32, 16:38:09, 122, 104, 90, 82, 116, 125
33, 16:38:09, 120, 112, 98, 88, 115, 127
34, 16:38:09, 125, 111, 98, 88, 119, 128
35, 16:38:09, 89, 95, 90, 80, 47, 103
36, 16:38:10, 101, 100, 97, 89, 67, 55
37, 16:38:10, 117, 113, 105, 96, 99, 96
38, 16:38:10, 41, 57, 65, 66, 28, 10
39, 16:38:10, 23, 40, 52, 60, 31, 12
40, 16:38:10, 22, 32, 43, 55, 45, 11
41, 16:38:10, 76, 62, 56, 63, 109, 59
42, 16:38:11, 52, 50, 50, 58, 96, 104
43, 16:38:11, 23, 34, 40, 49, 42, 29
44, 16:38:11, 106, 104, 98, 91, 73, 62
45, 16:38:11, 111, 111, 103, 94, 92, 88
46, 16:38:11, 34, 54, 64, 66, 20, 37
47, 16:38:11, 43, 59, 66, 67, 17, 62
48, 16:38:11, 24, 40, 50, 56, 25, 13
49, 16:38:12, 68, 77, 80, 71, 25, 15
50, 16:38:12, 22, 35, 46, 65, 22, 10
51, 16:38:12, 58, 55, 53, 62, 103, 111
52, 16:38:12, 47, 43, 47, 55, 87, 29
53, 16:38:12, 120, 102, 84, 61, 118, 125
54, 16:38:12, 107, 91, 78, 75, 119, 130
55, 16:38:13, 120, 114, 104, 93, 98, 102
56, 16:38:13, 125, 114, 100, 89, 102, 107
57, 16:38:13, 67, 78, 80, 76, 35, 19
58, 16:38:13, 88, 92, 92, 84, 50, 33
59, 16:38:13, 122, 115, 102, 92, 104, 108
60, 16:38:13, 112, 108, 100, 89, 107, 114
61, 16:38:13, 88, 93, 91, 82, 53, 36
62, 16:38:14, 120, 112, 103, 92, 99, 101
63, 16:38:14, 109, 110, 101, 94, 91, 83
64, 16:38:14, 115, 112, 102, 93, 96, 96
65, 16:38:14, 119, 113, 103, 92, 98, 101
66, 16:38:14, 110, 110, 104, 96, 92, 83
67, 16:38:14, 65, 76, 81, 77, 95, 95
68, 16:38:14, 81, 88, 88, 80, 43, 98
69, 16:38:14, 99, 102, 98, 86, 60, 46
