Date/Time: 2018-04-26-18-15-33
Device Name: Blood Pressure Cuff
Units: seconds, kPa, mmHg, SIM
0.19, 0.47, 3.54, False
0.44, 0.47, 3.54, False
0.70, 0.47, 3.54, False
0.95, 0.47, 3.54, False
1.21, 0.47, 3.54, False
1.47, 0.47, 3.54, False
1.72, 0.47, 3.54, False
1.98, 0.47, 3.54, False
2.23, 0.47, 3.54, False
2.48, 0.47, 3.54, False
2.74, 0.47, 3.54, False
2.99, 0.47, 3.54, False
3.25, 0.47, 3.54, False
3.50, 0.47, 3.54, False
3.75, 2.16, 16.20, False
4.01, 0.58, 4.34, False
4.27, 2.21, 16.58, False
4.53, 0.47, 3.54, False
4.78, 0.47, 3.54, False
5.03, 0.47, 3.54, False
5.28, 0.47, 3.54, False
5.54, 0.47, 3.54, False
5.79, 0.47, 3.54, False
6.05, 0.47, 3.54, False
6.30, 0.47, 3.54, False
6.55, 0.47, 3.54, False
6.81, 0.47, 3.54, False
7.06, 0.47, 3.54, False
7.32, 0.47, 3.54, False
7.57, 0.47, 3.54, False
7.82, 0.47, 3.54, False
8.08, 0.47, 3.54, False
8.33, 0.47, 3.54, False
8.59, 0.47, 3.54, False
8.84, 0.47, 3.54, False
9.09, 0.47, 3.54, False
9.35, 0.47, 3.54, False
9.60, 0.47, 3.54, False
9.86, 0.47, 3.54, False
10.11, 0.47, 3.54, False
10.36, 0.47, 3.54, False
10.62, 0.47, 3.54, False
10.87, 0.47, 3.54, False
11.13, 0.47, 3.54, False
11.38, 0.47, 3.54, False
11.64, 0.95, 7.11, False
11.90, 1.21, 9.11, False
12.15, 1.49, 11.17, False
12.41, 2.07, 15.51, False
12.66, 2.09, 15.68, False
12.92, 1.72, 12.92, False
13.17, 1.75, 13.10, False
13.43, 1.70, 12.73, False
13.68, 1.69, 12.67, False
13.94, 2.30, 17.22, False
14.20, 2.63, 19.76, False
14.46, 3.38, 25.33, False
14.71, 3.65, 27.40, False
14.97, 3.88, 29.13, False
15.22, 4.49, 33.68, False
15.48, 5.88, 44.12, False
15.74, 7.21, 54.06, False
16.00, 7.98, 59.84, False
16.25, 8.07, 60.58, False
16.50, 8.55, 64.17, False
16.76, 9.07, 68.05, False
17.01, 10.42, 78.17, False
17.27, 10.81, 81.12, False
17.52, 11.77, 88.27, True
17.78, 13.29, 99.72, True
18.04, 14.83, 111.23, True
18.29, 16.02, 120.21, True
18.55, 14.87, 111.56, True
18.80, 14.23, 106.77, True
19.06, 12.84, 96.36, True
19.31, 10.89, 81.72, False
