Date/Time: 2018-04-30-16-09-26
Device Name: Blood Pressure Cuff
Units: seconds, kPa, mmHg, SIM
0.18, 0.48, 3.62, False
0.43, 0.48, 3.62, False
0.69, 0.48, 3.62, False
0.95, 0.48, 3.62, False
1.20, 0.48, 3.62, False
1.46, 0.48, 3.60, False
1.71, 0.48, 3.60, False
1.96, 0.48, 3.62, False
2.22, 0.48, 3.60, False
2.47, 0.48, 3.60, False
2.72, 0.48, 3.62, False
2.98, 0.48, 3.62, False
3.23, 0.48, 3.60, False
3.49, 0.48, 3.62, False
3.74, 0.48, 3.63, False
3.99, 0.48, 3.62, False
4.24, 0.48, 3.63, False
4.50, 0.48, 3.62, False
4.75, 0.48, 3.60, False
5.01, 0.48, 3.60, False
5.26, 0.48, 3.60, False
5.51, 0.48, 3.62, False
5.76, 0.48, 3.62, False
6.01, 0.48, 3.62, False
6.27, 0.49, 3.65, False
6.52, 0.60, 4.51, False
6.78, 0.47, 3.54, False
7.03, 1.06, 7.93, False
7.29, 1.85, 13.88, False
7.55, 1.88, 14.09, False
7.80, 0.94, 7.03, False
8.06, 0.80, 5.98, False
8.32, 0.79, 5.96, False
8.57, 0.68, 5.13, False
8.83, 0.61, 4.58, False
9.09, 0.57, 4.25, False
9.34, 0.53, 3.98, False
9.60, 0.50, 3.79, False
9.86, 0.49, 3.71, False
10.11, 0.49, 3.66, False
10.37, 0.49, 3.66, False
10.63, 0.48, 3.63, False
10.89, 0.49, 3.65, False
11.14, 0.48, 3.63, False
11.40, 0.48, 3.62, False
11.66, 0.48, 3.63, False
11.91, 0.48, 3.63, False
12.17, 0.48, 3.62, False
12.42, 0.48, 3.62, False
12.68, 0.48, 3.62, False
12.94, 0.48, 3.62, False
13.19, 0.48, 3.62, False
13.45, 0.48, 3.63, False
13.71, 0.48, 3.63, False
13.96, 0.48, 3.63, False
14.22, 0.48, 3.63, False
14.48, 0.49, 3.65, False
14.73, 0.49, 3.68, False
14.99, 0.50, 3.79, False
15.24, 0.49, 3.69, False
15.50, 0.48, 3.62, False
15.76, 0.48, 3.60, False
16.01, 0.48, 3.60, False
16.27, 0.48, 3.62, False
16.53, 0.49, 3.68, False
16.78, 0.48, 3.60, False
17.04, 0.49, 3.65, False
