Date/Time: 2018-04-26-18-35-53
Device Name: Blood Pressure Cuff
Units: seconds, kPa, mmHg, SIM
0.02, 0.47, 3.54, False
0.28, 0.47, 3.54, False
0.53, 0.47, 3.54, False
0.78, 0.47, 3.54, False
1.04, 0.47, 3.54, False
1.29, 0.47, 3.54, False
1.55, 0.47, 3.54, False
1.80, 0.47, 3.54, False
2.06, 0.47, 3.54, False
2.31, 0.47, 3.54, False
2.57, 0.47, 3.54, False
2.83, 0.56, 4.21, False
3.08, 1.60, 12.01, False
3.34, 3.62, 27.13, False
3.59, 1.96, 14.70, False
3.85, 0.47, 3.54, False
4.10, 0.47, 3.54, False
4.36, 0.80, 5.98, False
4.62, 2.96, 22.20, False
4.87, 1.22, 9.19, False
5.13, 0.47, 3.54, False
5.38, 1.46, 10.97, False
5.64, 3.25, 24.39, False
5.90, 2.90, 21.76, False
6.15, 0.47, 3.54, False
6.41, 0.86, 6.42, False
6.66, 2.32, 17.43, False
6.92, 0.47, 3.54, False
7.17, 2.40, 18.03, False
7.43, 0.51, 3.84, False
7.69, 0.50, 3.74, False
7.95, 2.51, 18.80, False
8.20, 0.50, 3.79, False
8.46, 2.50, 18.72, False
8.71, 0.82, 6.15, False
8.96, 0.59, 4.43, False
9.22, 1.21, 9.10, False
9.48, 1.64, 12.29, False
9.73, 1.95, 14.64, False
9.98, 2.24, 16.78, False
10.24, 2.54, 19.03, False
10.50, 3.11, 23.35, False
10.75, 3.19, 23.92, False
11.01, 3.45, 25.88, False
11.27, 3.27, 24.56, False
11.52, 4.16, 31.18, False
11.78, 3.63, 27.22, False
12.04, 2.89, 21.65, False
12.29, 0.66, 4.92, False
12.55, 0.47, 3.54, False
12.81, 0.47, 3.54, False
13.07, 0.47, 3.54, False
13.32, 0.47, 3.54, False
13.58, 0.47, 3.54, False
13.83, 0.47, 3.54, False
14.09, 0.47, 3.54, False
14.35, 0.47, 3.54, False
14.61, 0.47, 3.54, False
14.86, 0.47, 3.54, False
15.12, 0.47, 3.54, False
15.38, 0.47, 3.54, False
15.63, 0.47, 3.54, False
15.89, 0.47, 3.54, False
16.15, 0.47, 3.54, False
16.40, 0.47, 3.54, False
16.66, 0.47, 3.54, False
16.91, 0.47, 3.54, False
17.17, 0.47, 3.54, False
17.43, 0.47, 3.54, False
