Date/Time: 2018-04-25-22-12-52
Device Name: Blood Pressure Cuff
Units: seconds, kPa, mmHg, SIM
50.10, 0.47, 3.54, False
50.35, 0.47, 3.54, False
50.61, 0.47, 3.54, False
50.87, 0.47, 3.54, False
51.12, 0.47, 3.54, False
51.38, 0.47, 3.54, False
51.63, 0.47, 3.54, False
51.89, 0.47, 3.54, False
52.15, 0.47, 3.54, False
52.41, 0.47, 3.54, False
52.66, 0.47, 3.54, False
52.92, 0.47, 3.54, False
53.18, 0.47, 3.54, False
53.43, 0.47, 3.54, False
53.69, 0.47, 3.54, False
53.94, 0.47, 3.54, False
54.20, 0.47, 3.54, False
54.46, 0.47, 3.54, False
54.71, 0.47, 3.54, False
54.97, 0.47, 3.54, False
55.23, 0.47, 3.54, False
55.48, 0.47, 3.54, False
55.74, 0.47, 3.54, False
55.99, 0.47, 3.54, False
56.25, 0.47, 3.54, False
56.50, 0.47, 3.54, False
56.76, 0.47, 3.54, False
57.02, 0.47, 3.54, False
57.28, 0.47, 3.54, False
57.53, 0.47, 3.54, False
57.79, 0.47, 3.54, False
58.05, 0.47, 3.54, False
58.30, 0.47, 3.54, False
58.56, 0.47, 3.54, False
58.81, 0.47, 3.54, False
59.07, 0.47, 3.54, False
59.32, 0.47, 3.54, False
59.58, 0.47, 3.54, False
59.83, 0.47, 3.54, False
60.09, 0.47, 3.54, False
60.34, 0.47, 3.54, False
60.60, 0.47, 3.54, False
60.85, 0.47, 3.54, False
61.11, 0.47, 3.54, False
61.36, 0.47, 3.54, False
61.62, 0.47, 3.54, False
61.87, 0.47, 3.54, False
62.13, 0.47, 3.54, False
62.38, 0.47, 3.54, False
62.64, 0.47, 3.54, False
62.90, 0.47, 3.54, False
63.15, 0.47, 3.54, False
63.41, 0.47, 3.54, False
63.66, 0.47, 3.54, False
63.92, 0.47, 3.54, False
64.17, 0.47, 3.54, False
64.43, 0.47, 3.54, False
64.68, 0.47, 3.54, False
64.94, 0.47, 3.54, False
65.19, 0.47, 3.54, False
65.45, 0.47, 3.54, False
65.70, 0.47, 3.54, False
65.96, 0.47, 3.54, False
66.21, 0.47, 3.54, False
66.47, 0.47, 3.54, False
66.73, 0.47, 3.54, False
66.98, 0.47, 3.54, False
67.24, 0.47, 3.54, False
67.49, 0.47, 3.54, False
67.75, 0.47, 3.54, False
68.00, 0.47, 3.54, False
68.25, 0.47, 3.54, False
68.50, 0.47, 3.54, False
