Date/Time: 2018-04-30-23-47-50
Device Name: Blood Pressure Cuff
Units: seconds, kPa, mmHg, SIM
0.18, 0.48, 3.60, False
0.43, 0.48, 3.62, False
0.68, 0.48, 3.60, False
0.93, 0.48, 3.62, False
1.19, 0.48, 3.60, False
1.44, 0.48, 3.60, False
1.71, 0.48, 3.60, False
1.96, 0.48, 3.62, False
2.21, 0.48, 3.60, False
2.47, 0.48, 3.62, False
2.72, 0.48, 3.62, False
2.98, 0.48, 3.62, False
3.24, 0.48, 3.60, False
3.50, 0.48, 3.62, False
3.75, 0.48, 3.60, False
4.00, 0.48, 3.60, False
4.26, 0.48, 3.62, False
4.51, 0.48, 3.60, False
4.77, 0.48, 3.62, False
5.02, 0.48, 3.62, False
5.29, 0.48, 3.62, False
5.54, 0.48, 3.62, False
5.79, 0.48, 3.62, False
6.05, 0.48, 3.62, False
6.30, 0.48, 3.60, False
6.55, 0.48, 3.60, False
6.80, 0.48, 3.62, False
7.06, 0.48, 3.62, False
7.32, 0.48, 3.60, False
7.58, 0.48, 3.62, False
7.83, 0.49, 3.68, False
8.09, 0.48, 3.62, False
8.34, 0.49, 3.65, False
8.59, 0.48, 3.62, False
8.84, 0.48, 3.62, False
9.09, 0.49, 3.65, False
9.35, 0.48, 3.62, False
9.61, 0.49, 3.65, False
9.86, 0.48, 3.62, False
10.11, 0.48, 3.62, False
10.36, 0.49, 3.65, False
10.61, 0.48, 3.62, False
10.87, 0.49, 3.65, False
11.13, 0.48, 3.62, False
11.38, 0.49, 3.65, False
11.64, 0.48, 3.60, False
11.90, 0.49, 3.69, False
12.15, 0.48, 3.62, False
12.41, 0.49, 3.69, False
12.67, 0.48, 3.62, False
12.93, 0.49, 3.65, False
13.18, 0.48, 3.62, False
13.44, 0.48, 3.60, False
13.69, 0.48, 3.60, False
13.95, 0.48, 3.60, False
14.21, 0.48, 3.60, False
14.46, 0.48, 3.60, False
14.71, 0.48, 3.63, False
14.97, 0.48, 3.60, False
15.22, 0.48, 3.60, False
15.47, 0.49, 3.65, False
15.72, 0.48, 3.62, False
15.98, 0.48, 3.63, False
16.23, 0.48, 3.62, False
16.49, 0.49, 3.65, False
16.75, 0.48, 3.60, False
17.01, 0.48, 3.60, False
17.26, 0.48, 3.60, False
17.52, 0.49, 3.65, False
17.77, 0.48, 3.60, False
18.02, 0.49, 3.66, False
18.27, 0.48, 3.60, False
18.53, 0.48, 3.60, False
18.78, 0.48, 3.62, False
19.04, 0.48, 3.60, False
19.29, 0.49, 3.65, False
19.55, 0.48, 3.60, False
19.81, 0.48, 3.60, False
20.07, 0.48, 3.60, False
20.33, 0.49, 3.65, False
20.58, 0.48, 3.60, False
20.83, 0.48, 3.62, False
21.09, 0.48, 3.60, False
21.34, 0.48, 3.60, False
21.60, 0.48, 3.60, False
21.85, 0.48, 3.60, False
22.10, 0.49, 3.65, False
22.36, 0.48, 3.62, False
22.61, 0.49, 3.66, False
22.87, 0.51, 3.80, False
23.12, 0.49, 3.69, False
23.38, 0.48, 3.62, False
23.64, 0.48, 3.62, False
23.89, 0.48, 3.62, False
24.15, 0.48, 3.62, False
24.41, 0.48, 3.62, False
24.66, 0.48, 3.62, False
24.92, 0.48, 3.62, False
25.17, 0.48, 3.62, False
25.42, 0.48, 3.62, False
25.68, 0.48, 3.62, False
25.94, 0.48, 3.63, False
26.19, 0.48, 3.62, False
26.45, 0.48, 3.62, False
26.70, 0.48, 3.62, False
26.95, 0.48, 3.62, False
27.21, 0.48, 3.62, False
27.47, 0.48, 3.62, False
27.73, 0.48, 3.62, False
27.98, 0.48, 3.60, False
28.24, 0.48, 3.62, False
28.49, 0.48, 3.62, False
28.74, 0.48, 3.62, False
29.00, 0.48, 3.60, False
29.25, 0.48, 3.62, False
29.51, 0.48, 3.62, False
29.76, 0.48, 3.62, False
30.02, 0.48, 3.62, False
30.28, 0.48, 3.62, False
30.53, 0.48, 3.62, False
30.78, 0.48, 3.62, False
31.04, 0.48, 3.62, False
31.30, 0.48, 3.63, False
31.56, 0.48, 3.62, False
31.81, 0.48, 3.60, False
32.07, 0.48, 3.63, False
32.33, 0.48, 3.62, False
32.58, 0.48, 3.62, False
32.84, 0.48, 3.62, False
33.09, 0.48, 3.60, False
33.35, 0.48, 3.62, False
33.61, 0.48, 3.62, False
33.86, 0.48, 3.62, False
34.11, 0.48, 3.62, False
34.37, 0.48, 3.62, False
34.63, 0.48, 3.62, False
34.88, 0.48, 3.62, False
35.14, 0.48, 3.62, False
35.39, 0.48, 3.62, False
35.65, 0.48, 3.62, False
35.90, 0.48, 3.62, False
36.16, 0.48, 3.62, False
36.41, 0.48, 3.62, False
36.67, 0.48, 3.63, False
36.92, 0.48, 3.60, False
37.18, 0.48, 3.62, False
37.43, 0.48, 3.62, False
37.69, 0.48, 3.62, False
37.95, 0.48, 3.60, False
38.20, 0.48, 3.60, False
38.46, 0.48, 3.62, False
38.72, 0.48, 3.60, False
38.97, 0.48, 3.62, False
39.23, 0.48, 3.62, False
39.48, 0.48, 3.62, False
39.73, 0.48, 3.60, False
39.98, 0.48, 3.60, False
40.24, 0.48, 3.60, False
40.49, 0.48, 3.60, False
40.75, 0.48, 3.62, False
41.01, 0.48, 3.62, False
41.26, 0.48, 3.62, False
