===================== 
Scenario =  
Instrument = ScopePanel
This is a header line 
===================== 
TIM,0,,
TIM,6.57076501846,OUT,0,
TIM,6.59333705902,OUT,0,
TIM,6.61554813385,OUT,0,
TIM,6.63760900497,OUT,0,
TIM,6.65900015831,OUT,0,
TIM,6.68165206909,OUT,0,
TIM,6.70363616943,OUT,0,
TIM,6.72576618195,OUT,0,
TIM,6.74731898308,OUT,0,
TIM,6.76951909065,OUT,0,
TIM,6.79193305969,OUT,0,
TIM,6.81399011612,OUT,0,
TIM,6.83526301384,OUT,0,
TIM,6.85779309273,OUT,0,
TIM,6.8800599575,OUT,0,
TIM,6.90225505829,OUT,0,
TIM,6.92329907417,OUT,0,
TIM,6.94571900368,OUT,0,
TIM,6.9681520462,OUT,0,
TIM,6.98948216438,OUT,0,
TIM,7.01171112061,OUT,0,
TIM,7.03394603729,OUT,0,
TIM,7.05629014969,OUT,0,
TIM,7.07761907578,OUT,0,
TIM,7.10004901886,OUT,0,
TIM,7.12216806412,OUT,0,
TIM,7.1444311142,OUT,0,
TIM,7.16580414772,OUT,0,
TIM,7.18827795982,OUT,0,
TIM,7.21040916443,OUT,0,
TIM,7.23246502876,OUT,0,
TIM,7.25397801399,OUT,0,
TIM,7.27650809288,OUT,0,
TIM,7.29869914055,OUT,0,
TIM,7.31974506378,OUT,0,
TIM,7.34205818176,OUT,0,
TIM,7.36468911171,OUT,0,
TIM,7.38717412949,OUT,0,
TIM,7.40787816048,OUT,0,
TIM,7.43052101135,OUT,0,
TIM,7.45283603668,OUT,0,
TIM,7.47505807877,OUT,0,
TIM,7.49626111984,OUT,0,
TIM,7.51854395866,OUT,0,
TIM,7.54102015495,OUT,0,
TIM,7.5631570816,OUT,0,
TIM,7.58456397057,OUT,0,
TIM,7.60681700706,OUT,0,
TIM,7.62893199921,OUT,0,
TIM,7.65114808083,OUT,0,
TIM,7.67266607285,OUT,0,
TIM,7.69515895844,OUT,0,
TIM,7.71719908714,OUT,0,
TIM,7.74441719055,OUT,0,
TIM,7.76089406013,OUT,0,
TIM,7.78336405754,OUT,0,
TIM,7.80549907684,OUT,0,
TIM,7.82657003403,OUT,0,
TIM,7.84886717796,OUT,0,
TIM,7.87153410912,OUT,0,
TIM,7.89366912842,OUT,0,
TIM,7.91478514671,OUT,0,
TIM,7.93696403503,OUT,0,
