Date/Time: 2018-04-26-18-18-49
Device Name: Blood Pressure Cuff
Units: seconds, kPa, mmHg, SIM
0.19, 0.47, 3.54, False
0.44, 0.47, 3.54, False
0.70, 0.47, 3.54, False
0.95, 0.47, 3.54, False
1.20, 0.47, 3.54, False
1.46, 0.47, 3.54, False
1.71, 0.47, 3.54, False
1.96, 0.47, 3.54, False
2.22, 0.47, 3.54, False
2.47, 0.47, 3.54, False
2.72, 0.47, 3.54, False
2.98, 0.47, 3.54, False
3.23, 0.47, 3.54, False
3.48, 0.47, 3.54, False
3.74, 0.47, 3.54, False
3.99, 1.38, 10.32, False
4.25, 0.78, 5.88, False
4.50, 2.88, 21.63, False
4.76, 1.47, 11.00, False
5.01, 0.47, 3.55, False
5.27, 0.47, 3.54, False
5.52, 0.47, 3.54, False
5.77, 0.47, 3.54, False
6.03, 0.47, 3.54, False
6.28, 0.47, 3.54, False
6.53, 0.47, 3.54, False
6.79, 0.47, 3.54, False
7.04, 0.47, 3.54, False
7.29, 0.47, 3.54, False
7.55, 0.47, 3.54, False
7.80, 0.47, 3.54, False
8.05, 0.47, 3.54, False
8.30, 0.47, 3.54, False
8.56, 0.47, 3.54, False
8.81, 0.47, 3.54, False
9.06, 0.47, 3.54, False
9.32, 0.47, 3.54, False
9.57, 0.47, 3.54, False
9.82, 0.47, 3.54, False
10.08, 0.47, 3.54, False
10.33, 0.47, 3.54, False
10.58, 0.47, 3.54, False
10.84, 0.47, 3.54, False
11.09, 0.47, 3.54, False
11.34, 0.47, 3.54, False
11.60, 0.47, 3.54, False
11.85, 0.47, 3.54, False
12.10, 0.47, 3.54, False
12.36, 0.47, 3.54, False
12.61, 0.47, 3.54, False
12.86, 0.47, 3.54, False
13.12, 0.47, 3.54, False
13.37, 0.47, 3.54, False
13.62, 0.47, 3.54, False
13.87, 0.47, 3.54, False
14.13, 0.47, 3.54, False
14.38, 0.47, 3.54, False
14.64, 0.47, 3.54, False
14.89, 0.47, 3.54, False
15.15, 0.47, 3.54, False
15.40, 0.47, 3.54, False
15.66, 0.47, 3.54, False
15.91, 0.47, 3.54, False
16.17, 0.47, 3.54, False
16.42, 0.47, 3.54, False
16.68, 0.47, 3.54, False
16.94, 0.47, 3.54, False
17.19, 0.47, 3.54, False
17.45, 0.47, 3.54, False
17.70, 0.47, 3.54, False
17.96, 0.47, 3.54, False
18.21, 0.47, 3.54, False
18.47, 0.47, 3.54, False
18.72, 0.47, 3.54, False
18.98, 0.47, 3.54, False
19.23, 0.47, 3.54, False
