Date/Time: 2018-04-25-15-40-26
Device Name: Blood Pressure Cuff
Units: seconds, kPa, mmHg
0.11, 0.47, 3.54
0.36, 0.47, 3.54
0.61, 0.47, 3.54
0.87, 0.47, 3.54
1.12, 0.47, 3.54
1.37, 0.47, 3.54
1.62, 0.47, 3.54
1.88, 0.47, 3.54
2.13, 0.47, 3.54
2.39, 0.47, 3.54
2.64, 0.47, 3.54
2.90, 0.47, 3.54
3.15, 0.47, 3.54
3.40, 0.47, 3.54
3.66, 0.47, 3.54
3.92, 0.47, 3.54
4.18, 0.47, 3.54
4.43, 0.47, 3.54
4.68, 0.47, 3.54
4.93, 0.47, 3.54
5.18, 0.56, 4.17
5.44, 1.47, 11.02
5.69, 1.77, 13.25
5.95, 2.24, 16.83
6.20, 2.33, 17.51
6.45, 2.43, 18.25
6.71, 3.20, 24.01
6.96, 3.24, 24.34
7.22, 3.36, 25.24
7.48, 4.19, 31.44
7.73, 4.19, 31.46
7.99, 4.24, 31.81
8.25, 4.35, 32.67
8.51, 4.98, 37.37
8.76, 6.14, 46.04
9.01, 6.11, 45.85
9.27, 6.00, 45.05
9.52, 5.96, 44.75
9.78, 7.63, 57.21
10.04, 7.50, 56.23
10.29, 7.39, 55.45
10.55, 7.35, 55.16
10.81, 8.79, 65.92
11.07, 8.58, 64.34
11.33, 8.45, 63.37
11.58, 8.36, 62.71
11.84, 8.32, 62.41
12.10, 8.29, 62.22
12.35, 8.51, 63.86
12.60, 8.64, 64.82
12.86, 8.60, 64.55
13.11, 8.53, 63.97
13.37, 8.48, 63.64
13.63, 10.73, 80.49
13.89, 10.41, 78.12
14.14, 10.19, 76.44
14.40, 10.09, 75.71
14.65, 10.02, 75.16
14.91, 11.02, 82.68
15.16, 11.82, 88.64
15.42, 11.51, 86.38
15.67, 11.44, 85.86
15.93, 11.41, 85.62
16.19, 11.35, 85.15
16.44, 11.33, 85.01
16.70, 11.29, 84.68
16.96, 11.26, 84.50
17.21, 11.27, 84.58
17.47, 11.28, 84.60
17.73, 11.24, 84.33
17.98, 11.48, 86.14
18.24, 13.28, 99.65
18.49, 13.04, 97.83
18.74, 12.96, 97.24
19.00, 12.90, 96.77
19.25, 14.35, 107.69
19.51, 14.07, 105.56
19.76, 13.83, 103.76
20.02, 13.89, 104.19
20.27, 13.83, 103.76
20.53, 13.70, 102.82
20.78, 13.61, 102.13
21.04, 13.47, 101.04
21.29, 13.38, 100.41
21.55, 13.25, 99.40
21.80, 13.13, 98.52
22.05, 13.10, 98.27
22.31, 13.04, 97.84
22.57, 12.98, 97.35
22.82, 12.97, 97.29
23.08, 12.93, 97.01
23.33, 12.91, 96.87
23.59, 12.92, 96.93
23.84, 12.92, 96.91
24.09, 12.89, 96.71
24.34, 12.89, 96.72
24.60, 12.87, 96.58
24.85, 12.84, 96.31
25.11, 12.78, 95.86
25.37, 12.58, 94.41
25.63, 11.99, 89.97
25.88, 10.98, 82.39
26.14, 10.21, 76.57
26.39, 9.86, 73.98
26.64, 9.64, 72.34
26.90, 9.33, 69.97
27.15, 8.83, 66.27
27.40, 8.93, 66.97
27.66, 8.92, 66.94
27.91, 8.97, 67.29
28.16, 9.00, 67.53
28.42, 9.02, 67.64
28.68, 9.04, 67.86
28.93, 9.36, 70.25
29.19, 10.12, 75.95
29.44, 10.17, 76.33
29.70, 10.30, 77.29
29.95, 10.32, 77.43
30.21, 10.60, 79.51
30.46, 10.74, 80.57
30.72, 10.84, 81.34
30.97, 10.89, 81.70
31.23, 11.05, 82.90
31.49, 11.40, 85.53
