Date/Time: 2018-04-26-17-12-33
Device Name: Blood Pressure Cuff
Units: seconds, kPa, mmHg, SIM
0.18, 0.47, 3.54, False
0.43, 0.47, 3.54, False
0.69, 0.47, 3.54, False
0.94, 0.47, 3.54, False
1.19, 0.47, 3.54, False
1.45, 0.47, 3.54, False
1.71, 0.47, 3.54, False
1.97, 0.47, 3.54, False
2.22, 0.47, 3.54, False
2.48, 0.47, 3.54, False
2.73, 0.47, 3.54, False
2.99, 0.47, 3.54, False
3.25, 0.47, 3.54, False
3.51, 0.47, 3.54, False
3.77, 1.71, 12.86, False
4.03, 0.62, 4.65, False
4.29, 1.31, 9.85, False
4.54, 1.22, 9.19, False
4.80, 0.47, 3.54, False
5.06, 0.47, 3.55, False
5.31, 0.47, 3.55, False
5.57, 0.48, 3.57, False
5.82, 0.47, 3.55, False
6.07, 0.47, 3.55, False
6.32, 0.47, 3.55, False
6.58, 0.48, 3.57, False
6.83, 0.48, 3.57, False
7.09, 0.48, 3.57, False
7.34, 0.48, 3.57, False
7.60, 0.48, 3.57, False
7.85, 0.48, 3.58, False
8.11, 0.48, 3.57, False
8.36, 0.48, 3.57, False
8.62, 0.48, 3.58, False
8.87, 0.48, 3.57, False
9.12, 0.48, 3.57, False
9.37, 0.48, 3.57, False
9.63, 0.48, 3.57, False
9.88, 0.48, 3.57, False
10.13, 0.48, 3.57, False
10.39, 0.48, 3.57, False
10.65, 0.48, 3.57, False
10.90, 0.48, 3.57, False
11.15, 0.48, 3.58, False
11.41, 0.48, 3.57, False
11.67, 0.48, 3.57, False
11.92, 0.48, 3.58, False
12.18, 0.48, 3.58, False
12.43, 0.48, 3.57, False
12.68, 0.48, 3.57, False
12.93, 0.48, 3.57, False
13.19, 0.48, 3.57, False
13.45, 0.48, 3.57, False
13.70, 0.48, 3.57, False
13.96, 0.48, 3.57, False
14.21, 0.48, 3.58, False
14.47, 0.48, 3.57, False
14.72, 0.48, 3.57, False
14.97, 0.48, 3.58, False
15.23, 0.48, 3.57, False
15.48, 0.48, 3.57, False
15.74, 0.48, 3.57, False
16.00, 0.48, 3.58, False
16.25, 0.48, 3.57, False
16.51, 0.47, 3.55, False
16.76, 0.48, 3.57, False
17.02, 0.48, 3.57, False
17.28, 0.48, 3.57, False
17.53, 0.48, 3.57, False
17.78, 0.48, 3.57, False
18.04, 0.48, 3.57, False
18.29, 0.48, 3.57, False
18.54, 0.48, 3.57, False
18.80, 0.47, 3.55, False
19.06, 0.47, 3.55, False
