Date/Time: 2018-04-25-21-53-20
Device Name: Blood Pressure Cuff
Units: seconds, kPa, mmHg, SIM
0.02, 0.47, 3.54, False
0.27, 0.47, 3.54, False
0.53, 0.47, 3.54, False
0.78, 0.47, 3.54, False
1.04, 0.47, 3.54, False
1.29, 0.47, 3.54, False
1.55, 0.47, 3.54, False
1.80, 0.47, 3.54, False
2.06, 0.47, 3.54, False
2.31, 0.47, 3.54, False
2.57, 0.47, 3.54, False
2.82, 0.47, 3.54, False
3.08, 0.47, 3.54, False
3.33, 0.47, 3.54, False
3.59, 0.47, 3.54, False
3.84, 0.47, 3.54, False
4.10, 0.47, 3.54, False
4.35, 0.47, 3.54, False
4.61, 0.47, 3.54, False
4.86, 0.47, 3.54, False
5.12, 0.47, 3.54, False
5.37, 0.47, 3.54, False
5.63, 0.48, 3.63, False
5.89, 0.48, 3.58, False
6.14, 0.66, 4.94, False
6.40, 0.62, 4.67, False
6.65, 0.79, 5.90, False
6.91, 0.93, 6.97, False
7.16, 0.99, 7.46, False
7.42, 1.53, 11.51, False
7.68, 1.72, 12.89, False
7.93, 2.04, 15.30, False
8.19, 2.26, 16.99, False
8.45, 2.82, 21.13, False
8.70, 3.62, 27.14, False
8.96, 4.31, 32.33, False
9.22, 6.07, 45.56, False
9.48, 5.65, 42.42, False
9.73, 5.35, 40.11, False
9.99, 4.85, 36.42, False
10.24, 4.48, 33.59, False
10.50, 4.25, 31.90, False
10.75, 4.10, 30.74, False
11.01, 4.78, 35.89, False
11.27, 5.43, 40.72, False
11.52, 5.89, 44.15, False
11.78, 6.49, 48.71, False
12.03, 7.94, 59.56, False
12.29, 9.24, 69.35, False
12.54, 9.51, 71.37, False
12.80, 10.77, 80.79, False
13.06, 12.36, 92.72, True
13.31, 13.58, 101.86, True
13.57, 13.28, 99.64, True
13.83, 13.01, 97.57, True
14.08, 14.21, 106.60, True
14.34, 14.49, 108.69, True
14.59, 14.23, 106.73, True
14.85, 14.03, 105.28, True
15.11, 15.70, 117.81, True
15.36, 15.32, 114.95, True
15.62, 15.22, 114.16, True
15.87, 17.27, 129.55, True
16.13, 16.85, 126.43, True
16.39, 19.06, 143.00, True
16.64, 18.91, 141.85, True
16.90, 20.92, 156.96, False
17.16, 21.48, 161.12, False
17.41, 22.31, 167.38, False
17.67, 20.86, 156.49, False
17.92, 19.46, 146.00, False
18.18, 18.69, 140.22, True
18.44, 18.48, 138.68, True
18.69, 18.23, 136.81, True
18.95, 18.12, 135.92, True
