Date/Time     :  2018-05-09-13-43-14
Scenario      : #1
Device Name   :  Blood Pressure Cuff
seconds,    kPa , mmHg Actual, mmHg Simulated, SIM
 30.26 ,  17.43 ,      130.77,         130.77, True
 30.52 ,  16.99 ,      127.44,         127.44, True
 30.75 ,  16.58 ,      124.40,         124.40, True
 31.02 ,  16.21 ,      121.61,         121.61, True
 31.26 ,  15.85 ,      118.95,         118.95, True
 31.50 ,  15.68 ,      117.65,         117.65, True
 31.75 ,  15.34 ,      115.07,         115.07, True
 32.02 ,  15.03 ,      112.73,         112.73, True
 32.27 ,  14.90 ,      111.78,         111.78, True
 32.52 ,  14.65 ,      109.92,         109.92, True
 32.77 ,  14.34 ,      107.56,         107.56, True
 33.02 ,  14.04 ,      105.35,         105.35, True
 33.27 ,  13.67 ,      102.55,         102.55, True
 33.52 ,  13.27 ,       99.59,          99.59, True
 33.77 ,  12.87 ,       96.54,          96.54, True
 34.02 ,  12.53 ,       93.98,          93.98, True
 34.27 ,  12.16 ,       91.23,          91.23, True
 34.51 ,  11.90 ,       89.31,          89.31, True
 34.76 ,  11.70 ,       87.79,          87.79, True
 35.01 ,  11.54 ,       86.60,          86.60, True
 35.26 ,  11.29 ,       84.71,          84.71, False
 35.50 ,  10.99 ,       82.46,          82.46, False
 35.78 ,  10.70 ,       80.25,          80.25, False
 36.03 ,  10.47 ,       78.55,          78.55, False
 36.28 ,  10.25 ,       76.90,          76.90, False
 36.50 ,  10.06 ,       75.46,          75.46, False
 36.76 ,   9.76 ,       73.26,          73.26, False
 37.00 ,   9.47 ,       71.08,          71.08, False
 37.28 ,   9.17 ,       68.80,          68.80, False
 37.52 ,   9.24 ,       69.35,          69.35, False
 37.76 ,   8.95 ,       67.15,          67.15, False
 38.00 ,   8.90 ,       66.74,          66.74, False
 38.26 ,   8.61 ,       64.56,          64.56, False
 38.50 ,   8.30 ,       62.30,          62.30, False
 38.75 ,   7.80 ,       58.50,          58.50, False
 39.03 ,   7.41 ,       55.62,          55.62, False
 39.27 ,   7.06 ,       52.96,          52.96, False
 39.52 ,   6.82 ,       51.19,          51.19, False
 39.77 ,   6.70 ,       50.30,          50.30, False
 40.02 ,   6.39 ,       47.93,          47.93, False
 40.26 ,   6.14 ,       46.04,          46.04, False
 40.52 ,   5.56 ,       41.73,          41.73, False
 40.76 ,   4.73 ,       35.52,          35.52, False
 41.02 ,   2.21 ,       16.58,          16.58, False
 41.27 ,   1.58 ,       11.82,          11.82, False
 41.52 ,   1.58 ,       11.85,          11.85, False
 41.76 ,   1.42 ,       10.66,          10.66, False
 42.01 ,   0.90 ,        6.75,           6.75, False
 42.27 ,   0.76 ,        5.69,           5.69, False
 42.52 ,   0.72 ,        5.38,           5.38, False
 42.76 ,   0.60 ,        4.48,           4.48, False
 43.01 ,   0.52 ,        3.88,           3.88, False
 43.27 ,   0.49 ,        3.65,           3.65, False
 43.53 ,   0.49 ,        3.69,           3.69, False
 43.76 ,   0.67 ,        5.00,           5.00, False
 44.02 ,   0.95 ,        7.13,           7.13, False
 44.27 ,   0.52 ,        3.88,           3.88, False
 44.50 ,   0.49 ,        3.69,           3.69, False
